word,definition,x,y,z,cluster
MADRASES,"'MADRAS, (Tamil) a fine plain-woven cotton or silk [n]'",-1.6631192,-0.42817214,1.7201246,-1
MAHANT,'(Hindi) a chief Hindu priest [n -S]',1.4111019,2.245409,-0.083329394,119
MAHANTS,"'MAHANT, (Hindi) a chief Hindu priest [n]'",1.4564455,2.6277611,-0.39726278,-1
MAHARAJA,"'(Sanskrit) a king or prince in India ranking above a rajah, esp. the sovereign of one of the former native states, also MAHARAJAH [n -S]'",1.9457128,-0.10758313,-0.11713556,120
MAHARAJAH,"'(Sanskrit) a king or prince in India ranking above a rajah, esp. the sovereign of one of the former native states, also MAHARAJA [n -S]'",1.9342098,-0.12715583,-0.14859742,120
MAHARAJAHS,"'MAHARAJAH, (Sanskrit) a king or prince in India ranking above a rajah, esp. the sovereign of one of the former native states, also MAHARAJA [n]'",1.9471798,-0.1651094,-0.1365182,-1
MAHARAJAS,"'MAHARAJA, (Sanskrit) a king or prince in India ranking above a rajah, esp. the sovereign of one of the former native states, also MAHARAJAH [n]'",1.9093758,-0.10905574,-0.12275066,-1
MAHARANEE,"'(Sanskrit) the wife of a maharajah, also MAHARANI [n -S]'",1.9087831,-0.11749964,-0.16341741,120
MAHARANEES,"'MAHARANEE, (Sanskrit) the wife of a maharajah, also MAHARANI [n]'",1.9257472,-0.12346143,-0.17712532,120
MAHARANI,"'(Sanskrit) the wife of a maharajah, also MAHARANEE [n -S]'",1.8977535,-0.10956533,-0.18910255,120
MAHARANIS,"'MAHARANI, (Sanskrit) the wife of a maharajah, also MAHARANEE [n]'",1.9607713,-0.158913,-0.20561075,120
MAHARISHI,'(Sanskrit) a Hindu teacher of mysticism and spiritual knowledge [n -S]',1.4966881,2.904071,-0.75554764,-1
MAHARISHIS,"'MAHARISHI, (Sanskrit) a Hindu teacher of mysticism and spiritual knowledge [n]'",1.4176441,2.8488758,-0.687456,-1
MAHATMA,"'(Sanskrit) a religious adept, a sage [n -S]'",1.669775,2.977109,-0.88004196,-1
MAHATMAS,"'MAHATMA, (Sanskrit) a religious adept, a sage [n]'",1.849278,3.059278,-1.0182111,-1
MAHOUT,'(Hindi) the keeper and driver of an elephant [n -S]',0.3638523,3.0066435,4.455185,-1
MAHOUTS,"'MAHOUT, (Hindi) the keeper and driver of an elephant [n]'",0.3185836,3.0216947,4.467099,-1
MAHSEER,"'(Hindi) a large freshwater fish, also MAHSIR [n -S]'",0.50048846,4.351199,6.262896,-1
MAHSEERS,"'MAHSEER, (Hindi) a large freshwater fish, also MAHSIR [n]'",0.5012262,4.2561545,6.302813,-1
MAHSIR,"'(Hindi) a large freshwater fish, also MAHSEER [n -S]'",0.50337964,4.317278,6.271859,-1
MAHSIRS,"'MAHSIR, (Hindi) a large freshwater fish, also MAHSEER [n]'",0.48449332,4.2690287,6.2402267,-1
MAHUA,"'(Hindi) a kind of butter-tree with edible flowers, also MAHWA, MOWA, MOWRA [n -S]'",-0.5030899,0.8902004,8.146746,108
MAHUAS,"'MAHUA, (Hindi) a kind of butter-tree with edible flowers, also MAHWA, MOWA, MOWRA [n]'",-0.5163291,0.84906733,8.1459465,108
MAHWA,"'(Hindi) a kind of butter-tree with edible flowers, also MAHUA, MOWA, MOWRA [n -S]'",-0.5357906,0.8997474,8.109722,108
MAHWAS,"'MAHWA, (Hindi) a kind of butter-tree with edible flowers, also MAHUA, MOWA, MOWRA [n]'",-0.5086588,0.83786595,8.146075,108
MAIDAN,"'(Urdu) in India, an open plain; an open space near a town [n -S]'",0.5794593,-1.4306113,1.0335395,-1
MAIDANS,"'MAIDAN, (Urdu) in India, an open plain; an open space near a town [n]'",0.69627106,-1.4160404,1.01623,-1
MAKHANI,"'(Hindi) in Indian cookery, a dish cooked in butter or cream, also MAKHNI [n -S]'",-1.6997001,-1.6520287,8.241563,-1
MAKHANIS,"'MAKHANI, (Hindi) in Indian cookery, a dish cooked in butter or cream, also MAKHNI [n]'",-1.679802,-1.6038278,8.240761,-1
MAKHNI,"'(Hindi) in Indian cookery, a dish cooked in butter or cream, also MAKHANI [n -S]'",-1.6805302,-1.6463869,8.21995,-1
MAKHNIS,"'MAKHNI, (Hindi) in Indian cookery, a dish cooked in butter or cream, also MAKHANI [n]'",-1.6390136,-1.5984052,8.283394,-1
MALA,'(Hindi) a string of beads or knots used in prayer [n -S]',1.0359677,2.5823872,0.20930013,-1
MALAS,"'MALA, (Hindi) a string of beads or knots used in prayer [n]'",1.0956348,2.6652575,0.21908514,-1
MALI,'(Hindi) a member of the gardener caste in India [n -S]',1.5786494,1.0357721,0.37664643,-1
MALIK,"'(Arabic) in India, the head of a village, an employer, also MELIK [n -S]'",1.4831878,-1.0279864,0.5153199,-1
MALIKS,"'MALIK, (Arabic) in India, the head of a village, an employer, also MELIK [n]'",1.5224742,-1.0249537,0.50607586,-1
MALIS,"'MALI, (Hindi) a member of the gardener caste in India [n]'",1.675156,1.2073207,0.3015297,-1
MAMELUCO,"'(Portuguese) a child born of a white father and Indian mother, also MAMELUKE, MAMLUK [n -S]'",0.6025854,5.986475,10.854294,-1
MAMELUCOS,"'MAMELUCO, (Portuguese) a child born of a white father and Indian mother, also MAMELUKE, MAMLUK [n]'",0.67009413,5.9544196,10.83745,-1
MANDALA,'(Sanskrit) a pictorial symbol of the universe in Hindu or Buddhism [n -S]',2.3668773,4.0518227,-1.0405084,-1
MANDALAS,"'MANDALA, (Sanskrit) a pictorial symbol of the universe in Hindu or Buddhism [n]'",2.354787,4.0914965,-1.0556515,-1
MANDI,'(Hindi) a big market [n -S]',1.5642687,0.8760159,1.3904581,-1
MANDIR,"'(Hindi) a Hindu temple, also MANDIRA [n -S]'",1.2580692,2.646888,0.26820052,-1
MANDIRA,"'(Hindi) a Hindu temple, also MANDIR [n -S]'",1.2541313,2.5645537,0.28489745,-1
MANDIRAS,"'MANDIRA, (Hindi) a Hindu temple, also MANDIR [n]'",1.259915,2.6965325,0.24837816,-1
MANDIRS,"'MANDIR, (Hindi) a Hindu temple, also MANDIRA [n]'",1.2931029,2.692011,0.22081994,-1
MANDIS,"'MANDI, (Hindi) a big market [n]'",1.4404488,1.1325744,1.1912524,-1
MANGALSUTRA,'a bead necklace worn by a married Hindu woman whose husband is living [n -S]',-0.84042656,1.4263841,1.0237231,-1
MANGALSUTRAS,"'MANGALSUTRA, a bead necklace worn by a married Hindu woman whose husband is living [n]'",-0.8463182,1.4318131,1.0238556,-1
MANITO,"'(Native American) a name given by tribes of American Indians to a great spirit, whether good or evil, or to any object of worship, also MANITOU, MANITU [n -S]'",0.4385274,6.895368,11.239922,25
MANITOS,"'MANITO, (Native American) a name given by tribes of American Indians to a great spirit, whether good or evil, or to any object of worship, also MANITOU, MANITU [n]'",0.4345178,6.939519,11.24972,25
MANITOU,"'(Native American) a name given by tribes of American Indians to a great spirit, whether good or evil, or to any object of worship, also MANITO, MANITU [n -S]'",0.42720583,6.908754,11.253855,25
MANITOUS,"'MANITOU, (Native American) a name given by tribes of American Indians to a great spirit, whether good or evil, or to any object of worship, also MANITO, MANITU [n]'",0.42181686,6.9289927,11.252063,25
MANITU,"'(Native American) a name given by tribes of American Indians to a great spirit, whether good or evil, or to any object of worship, also MANITO, MANITOU [n -S]'",0.4055401,6.8723564,11.239875,25
MANITUS,"'MANITU, (Native American) a name given by tribes of American Indians to a great spirit, whether good or evil, or to any object of worship, also MANITO, MANITOU [n]'",0.41642508,6.947058,11.2702465,25
MANJACK,'a West Indian tree [n -S]',0.7743901,2.9727852,7.810942,49
MANJACKS,"'MANJACK, a West Indian tree [n]'",0.80960345,3.1127388,8.147867,-1
MANTRA,"'(Sanskrit) a sacred word or syllable, also MANTRAM [n -S]'",2.3912408,3.937745,-0.7212825,-1
MANTRAM,"'(Sanskrit) a sacred word or syllable, also MANTRA [n -S]'",2.4025877,3.958301,-0.76406807,-1
MANTRAMS,"'MANTRAM, (Sanskrit) a sacred word or syllable, also MANTRA [n]'",2.3779078,3.8870013,-0.7621557,-1
MANTRAS,"'MANTRA, (Sanskrit) a sacred word or syllable, also MANTRAM [n]'",2.3800623,3.9334347,-0.8206623,-1
MARGOSA,"'(Portuguese) a large tree of genus Melia found in India, valued for medicinal purposes, aka neem [n -S]'",-0.43252888,1.796266,7.9056735,-1
MARGOSAS,"'MARGOSA, (Portuguese) a large tree of genus Melia found in India, valued for medicinal purposes, aka neem [n]'",-0.45112675,1.7987165,7.9451175,-1
MARIHUANA,"'(Spanish) Indian hemp; its dried flowers or leaves smoked as an intoxicant, also MARIJUANA [n -S]'",3.2063751,0.11193298,7.5472736,-1
MARIHUANAS,"'MARIHUANA, (Spanish) Indian hemp; its dried flowers or leaves smoked as an intoxicant, also MARIJUANA [n]'",3.191237,0.17005913,7.6027846,42
MARIJUANA,"'(Spanish) Indian hemp; its dried flowers or leaves smoked as an intoxicant, also MARIHUANA [n -S]'",3.2183146,0.12540723,7.5613008,-1
MARIJUANAS,"'MARIJUANA, (Spanish) Indian hemp; its dried flowers or leaves smoked as an intoxicant, also MARIHUANA [n]'",3.1873982,0.16988501,7.6042485,42
MASALA,'(Urdu) a mixture of ground spices used in Indian cookery [n -S]',-1.9402237,-1.4464564,8.457177,-1
MASALAS,"'MASALA, (Urdu) a mixture of ground spices used in Indian cookery [n]'",-1.813012,-1.5272598,8.438118,-1
MASOOLA,"'an Indian surfboat, also MASOOLAH, MASSOOLA, MASULA, MASULAH [n -S]'",1.6474338,-1.0536119,4.0409174,8
MASOOLAH,"'an Indian surfboat, also MASOOLA, MASSOOLA, MASULA, MASULAH [n -S]'",1.6339171,-1.0401646,4.027012,8
MASOOLAHS,"'MASOOLAH, an Indian surfboat, also MASOOLA, MASSOOLA, MASULA, MASULAH [n]'",1.594094,-0.9967987,3.983698,8
MASOOLAS,"'MASOOLA, an Indian surfboat, also MASOOLAH, MASSOOLA, MASULA, MASULAH [n]'",1.6062444,-1.0095321,3.9836535,8
MASSOOLA,"'an Indian surfboat, also MASOOLA, MASOOLAH, MASULA, MASULAH [n -S]'",1.6241521,-1.0294726,4.0186405,8
MASSOOLAS,"'MASSOOLA, an Indian surfboat, also MASOOLA, MASOOLAH, MASULA, MASULAH [n]'",1.6027447,-1.002074,3.9878988,8
MASULA,"'an Indian surfboat, also MASOOLA, MASOOLAH, MASSOOLA, MASULAH [n -S]'",1.6663979,-1.0834535,4.0721645,8
MASULAH,"'an Indian surfboat, also MASOOLA, MASOOLAH, MASSOOLA, MASULA [n -S]'",1.6258701,-1.036276,4.0267267,8
MASULAHS,"'MASULAH, an Indian surfboat, also MASOOLA, MASOOLAH, MASSOOLA, MASULA [n]'",1.6089153,-1.0093534,3.976397,8
MASULAS,"'MASULA, an Indian surfboat, also MASOOLA, MASOOLAH, MASSOOLA, MASULAH [n]'",1.5826665,-0.9828956,3.9593859,8
MAULVI,"'(Urdu) a teacher of Islamic law, also MOOLVI, MOOLVIE [n -S]'",-0.23090385,-1.3153533,0.0021346104,56
MAULVIS,"'MAULVI, (Urdu) a teacher of Islamic law, also MOOLVI, MOOLVIE [n]'",-0.20455733,-1.3232127,-0.0062996023,56
MAYA,"'(Sanskrit) in Buddhist philosophy, the power to produce illusions [n -S]'",2.286355,3.984448,-1.5363886,-1
MAYAS,"'MAYA, (Sanskrit) in Buddhist philosophy, the power to produce illusions [n]'",2.323854,3.9576614,-1.5867927,-1
MAZHBI,'(Hindi) a Sikh of low caste [n -S]',1.6349784,1.3305746,0.18523999,-1
MAZHBIS,"'MAZHBI, (Hindi) a Sikh of low caste [n]'",1.5945129,1.3608854,0.16361651,-1
MEHENDI,"'(Hindi) in India, the practice of painting designs on the hands, feet, etc., using henna, also MEHNDI [n -S]'",-0.6395176,1.5089406,0.9418917,-1
MEHENDIS,"'MEHENDI, (Hindi) in India, the practice of painting designs on the hands, feet, etc., using henna, also MEHNDI [n]'",-0.6830384,1.5039425,0.974487,-1
MEHNDI,"'(Hindi) in India, the practice of painting designs on the hands, feet, etc., using henna, also MEHENDI [n -S]'",-0.65523565,1.5273722,0.9614158,-1
MEHNDIS,"'MEHNDI, (Hindi) in India, the practice of painting designs on the hands, feet, etc., using henna, also MEHENDI [n]'",-0.6498787,1.519573,0.94888467,-1
MELA,"'(Hindi) in the Indian subcontinent, a Hindu festival or fair [n -S]'",1.1425666,2.4713109,0.38149303,-1
MELAS,"'MELA, (Hindi) in the Indian subcontinent, a Hindu festival or fair [n]'",1.1310066,2.6008606,0.30499098,-1
MELIK,"'(Arabic) in India, the head of a village, an employer, also MALIK [n -S]'",1.4648861,-0.9916796,0.4965354,-1
MELIKS,"'MELIK, (Arabic) in India, the head of a village, an employer, also MALIK [n]'",1.4868097,-1.0291103,0.49080363,-1
MELUNGEON,"'any of a dark-skinned group of people living in the Appalachians, of mixed White, Indian and Black origin [n -S]'",0.54405093,5.9999046,10.88778,-1
MELUNGEONS,"'MELUNGEON, any of a dark-skinned group of people living in the Appalachians, of mixed White, Indian and Black origin [n]'",0.67039454,5.987497,10.948546,-1
MEMSAHIB,'(Hindi) a European woman living in colonial India [n -S]',1.362362,0.13743655,0.16621716,-1
MEMSAHIBS,"'MEMSAHIB, (Hindi) a European woman living in colonial India [n]'",1.4994149,-0.098978445,-0.10366923,-1
MESTIZA,"'(Spanish) a (female) person of mixed, esp. Spanish and American-Indian parentage [n -S]'",0.5672454,6.030289,10.904903,24
MESTIZAS,"'MESTIZA, (Spanish) a (female) person of mixed, esp. Spanish and American-Indian parentage [n]'",0.608992,6.0028377,10.905666,-1
METIS,'(French) the (male) offspring of a white person and an American Indian [n METIS]',0.5935393,6.0274997,10.944748,24
METISSE,'(French) the (female) offspring of a white person and an American Indian [n -S]',0.58669204,6.0300407,10.930878,24
METISSES,"'METISSE, (French) the (female) offspring of a white person and an American Indian [n]'",0.66152906,6.0010657,10.968951,-1
MOFUSSIL,"'(Urdu) in India, the rural localities of a district as distinguished from the chief station or the town [n -S]'",0.65904504,-1.4096823,0.99866325,-1
MOFUSSILS,"'MOFUSSIL, (Urdu) in India, the rural localities of a district as distinguished from the chief station or the town [n]'",1.2187945,-1.367627,1.0215534,-1
MOHUR,'(Persian) a former gold coin of India [n -S]',2.6694677,0.1271793,1.9536016,-1
MOHURS,"'MOHUR, (Persian) a former gold coin of India [n]'",2.766832,0.12083226,1.9735451,-1
MOKSHA,'(Hindu) freedom from the endless cycle of transmigration [n -S]',2.3266032,3.8641706,-1.3777435,-1
MOKSHAS,"'MOKSHA, (Hindu) freedom from the endless cycle of transmigration [n]'",2.3700671,3.8614895,-1.3550345,-1
MOLA,'a brightly-coloured applique or embroidered panel made by Cuna Indian women of Panama [n -S]',0.051846117,6.1588798,10.864198,-1
MOLAS,"'MOLA, a brightly-coloured applique or embroidered panel made by Cuna Indian women of Panama [n]'",0.0016749123,6.22408,10.859689,-1
MONGEESE,"'MONGOOSE, (Marathi) a carnivorous mammal, also MUNGOOSE [n]'",0.43297756,3.3027,5.436918,-1
MONGOOSE,"'(Marathi) a carnivorous mammal, also MUNGOOSE [n MONGOOSES or MONGEESE]'",0.4358232,3.2747512,5.4241714,-1
MONGOOSES,"'MONGOOSE, (Marathi) a carnivorous mammal, also MUNGOOSE [n]'",0.46794724,3.3124664,5.4220657,-1
MOOKTAR,"'(Arabic) an Indian lawyer; a Turkish local government official, also MUKHTAR [n -S]'",1.5204672,-1.1993139,0.40758032,-1
MOOKTARS,"'MOOKTAR, (Arabic) an Indian lawyer; a Turkish local government official, also MUKHTAR [n]'",1.5326227,-1.2123272,0.39859173,-1
MOOLVI,"'(Urdu) a teacher of Islamic law, also MAULVI, MOOLVIE [n -S]'",-0.24455044,-1.305727,0.012886073,56
MOOLVIE,"'(Urdu) a teacher of Islamic law, also MAULVI, MOOLVI [n -S]'",-0.21343312,-1.3242804,-0.0034432993,56
MOOLVIES,"'MOOLVIE, (Urdu) a teacher of Islamic law, also MAULVI, MOOLVI [n]'",-0.19180934,-1.3459121,-0.0077536376,56
MOOLVIS,"'MOOLVI, (Urdu) a teacher of Islamic law, also MAULVI, MOOLVIE [n]'",-0.1804341,-1.3453081,-0.03171026,56
MOONSHEE,"'(Hindi) a secretary, interpreter, also MUNSHI [n -S]'",1.2474957,-0.50449836,0.12842725,-1
MOONSHEES,"'MOONSHEE, (Hindi) a secretary, interpreter, also MUNSHI [n]'",1.228576,-0.51531184,0.10376293,-1
MOORVA,"'(Sanskrit) a bowstring hemp, also MURVA [n -S]'",-0.11441504,1.5567398,7.6079373,-1
MOORVAS,"'MOORVA, (Sanskrit) a bowstring hemp, also MURVA [n]'",-0.07469284,1.6295737,7.636672,-1
MORCHA,'(Hindi) a hostile demonstration against the government [n -S]',2.2234087,0.48720026,1.0160677,-1
MORCHAS,"'MORCHA, (Hindi) a hostile demonstration against the government [n]'",2.3041306,0.4138859,0.93974215,-1
MOTI,"'(Hindi) in India, a fat woman or girl [n -S]'",1.1676191,0.73263806,0.3771832,-1
MOTIS,"'MOTI, (Hindi) in India, a fat woman or girl [n]'",1.0570264,0.68317205,0.36706966,-1
MOWA,"'(Hindi) a kind of butter-tree with edible flowers, also MAHUA, MAHWA, MOWRA [n -S]'",-0.52876824,0.9140087,8.110329,108
MOWAS,"'MOWA, (Hindi) a kind of butter-tree with edible flowers, also MAHUA, MAHWA, MOWRA [n]'",-0.51884025,0.8417893,8.138693,108
MOWRA,"'(Hindi) a kind of butter-tree with edible flowers, also MAHUA, MAHWA, MOWA [n -S]'",-0.5113331,0.85436267,8.143987,108
MOWRAS,"'MOWRA, (Hindi) a kind of butter-tree with edible flowers, also MAHUA, MAHWA, MOWA [n]'",-0.5171553,0.82939994,8.161949,108
MRIDAMGAM,"'(Sanskrit) a two-headed Indian drum, one head being larger than the other, also MRIDANG, MRIDANGA, MRIDANGAM [n -S]'",0.021656875,5.6587358,1.0475706,78
MRIDAMGAMS,"'MRIDAMGAM, (Sanskrit) a two-headed Indian drum, one head being larger than the other, also MRIDANG, MRIDANGA, MRIDANGAM [n]'",0.018116787,5.6755786,1.046123,78
MRIDANG,"'(Sanskrit) a two-headed Indian drum, one head being larger than the other, also MRIDAMGAM, MRIDANGA, MRIDANGAM [n -S]'",0.033894036,5.660593,1.0333886,78
MRIDANGA,"'(Sanskrit) a two-headed Indian drum, one head being larger than the other, also MRIDAMGAM, MRIDANG, MRIDANGAM [n -S]'",0.026218774,5.6697264,1.0389768,78
MRIDANGAM,"'(Sanskrit) a two-headed Indian drum, one head being larger than the other, also MRIDAMGAM, MRIDANG, MRIDANGA [n -S]'",0.0119200675,5.6876597,1.0552051,78
MRIDANGAMS,"'MRIDANGAM, (Sanskrit) a two-headed Indian drum, one head being larger than the other, also MRIDAMGAM, MRIDANG, MRIDANGA [n]'",0.035712473,5.704513,1.0205368,78
MRIDANGAS,"'MRIDANGA, (Sanskrit) a two-headed Indian drum, one head being larger than the other, also MRIDAMGAM, MRIDANG, MRIDANGAM [n]'",-0.0035977373,5.6968927,1.0665511,78
MRIDANGS,"'MRIDANG, (Sanskrit) a two-headed Indian drum, one head being larger than the other, also MRIDAMGAM, MRIDANGA, MRIDANGAM [n]'",-0.0030303341,5.6940484,1.0641755,78
MUDRA,'(Sanskrit) a hand gesture in East Indian classical dancing [n -S]',0.8401229,5.4093533,0.1106708,-1
MUDRAS,"'MUDRA, (Sanskrit) a hand gesture in East Indian classical dancing [n]'",0.87871355,5.3503127,0.07703087,-1
MUGGAR,"'(Hindi) a broad-snouted Indian crocodile, also MUGGER, MUGGUR [n -S]'",0.5786277,4.679427,6.164367,33
MUGGARS,"'MUGGAR, (Hindi) a broad-snouted Indian crocodile, also MUGGER, MUGGUR [n]'",0.5939484,4.6821,6.1724586,33
MUGGER,"'(Hindi) a broad-snouted Indian crocodile, also MUGGAR, MUGGUR [n -S]'",0.57457066,4.685221,6.1686783,33
MUGGERS,"'MUGGER, (Hindi) a broad-snouted Indian crocodile, also MUGGAR, MUGGUR [n]'",0.56656873,4.653548,6.182223,33
MUGGUR,"'(Hindi) a broad-snouted Indian crocodile, also MUGGAR, MUGGER [n -S]'",0.5639714,4.6841903,6.1370816,33
MUGGURS,"'MUGGUR, (Hindi) a broad-snouted Indian crocodile, also MUGGAR, MUGGER [n]'",0.5621013,4.681699,6.1833134,33
MUKHTAR,"'(Arabic) an Indian lawyer; a Turkish local government official, also MOOKTAR [n -S]'",1.5038275,-1.2249222,0.3789337,-1
MUKHTARS,"'MUKHTAR, (Arabic) an Indian lawyer; a Turkish local government official, also MOOKTAR [n]'",1.5338094,-1.2016147,0.39415884,-1
MULLIGATAWNIES,"'MULLIGATAWNY, (Tamil) an East Indian curry-soup [n]'",0.90372956,-1.5481617,8.457004,-1
MULLIGATAWNY,'(Tamil) an East Indian curry-soup [n MULLIGATAWNIES]',1.01791,-1.5735394,8.427957,-1
MULMUL,"'(Hindi) a fine, soft muslin, also MULMULL [n -S]'",-1.5815792,-0.2868866,1.6317241,-1
MULMULL,"'(Hindi) a fine, soft muslin, also MULMUL [n -S]'",-1.549739,-0.30428314,1.6353816,86
MULMULLS,"'MULMULL, (Hindi) a fine, soft muslin, also MULMUL [n]'",-1.6462643,-0.2896889,1.6269877,-1
MULMULS,"'MULMUL, (Hindi) a fine, soft muslin, also MULMULL [n]'",-1.6134907,-0.31236747,1.6360424,-1
MUNGOOSE,"'(Marathi) a carnivorous mammal, also MONGOOSE [n -S]'",0.43209732,3.2494884,5.428364,-1
MUNGOOSES,"'MUNGOOSE, (Marathi) a carnivorous mammal, also MONGOOSE [n]'",0.44417298,3.270945,5.420159,-1
MUNSHI,"'(Hindi) a secretary, an interpreter, also MOONSHEE [n -S]'",1.2466455,-0.5263867,0.13288732,-1
MUNSHIS,"'MUNSHI, (Hindi) a secretary, an interpreter, also MOONSHEE [n]'",1.2357483,-0.5175295,0.0797399,-1
MURDABAD,"'(Urdu) death to, used in slogans [interj]'",0.16609973,-0.9164647,0.8896328,-1
MURTI,'(Sanskrit) an image of a deity which is itself considered divine once consecrated [n -S]',2.5546677,3.70077,-0.64748544,-1
MURTIS,"'MURTI, (Sanskrit) an image of a deity which is itself considered divine once consecrated [n]'",2.6900108,3.6898599,-0.583265,-1
MURVA,"'(Sanskrit) a bowstring hemp, also MOORVA [n -S]'",-0.093484804,1.5600352,7.597284,-1
MURVAS,"'MURVA, (Sanskrit) a bowstring hemp, also MOORVA [n]'",-0.10821309,1.5850083,7.6365385,-1
MUSTH,'(Hindi) a state of frenzy occurring in male elephants [n -S]',0.37267357,3.0410082,4.527942,-1
MUSTHS,"'MUSTH, (Hindi) a state of frenzy occurring in male elephants [n]'",0.3416043,3.0698564,4.5270815,-1
MYAL,"'relating to myalism, a magic cult among West Indian blacks [adj]'",-1.6997869,10.023044,0.9132265,-1
MYALISM,'a magic cult among West Indian blacks [n -S]',-1.7272662,10.033871,0.89102733,-1
MYALISMS,"'MYALISM, a magic cult among West Indian blacks [n]'",-1.761586,10.051409,0.86807686,-1
MYALIST,"'one who practises myalism, a magic cult among West Indian blacks [n -S]'",-1.7061963,10.016357,0.8819028,-1
MYALISTS,"'MYALIST, one who practises myalism, a magic cult among West Indian blacks [n]'",-1.7161798,10.032832,0.9224868,-1
MYNA,"'(Hindi) an Asiatic bird of the starling family, also MYNAH [n -S]'",1.5965142,3.7396684,5.649798,-1
MYNAH,"'(Hindi) an Asiatic bird of the starling family, also MYNA [n -S]'",1.5917047,3.712786,5.611845,-1
MYNAHS,"'MYNAH, (Hindi) an Asiatic bird of the starling family, also MYNA [n]'",1.5822898,3.7483692,5.6525607,-1
MYNAS,"'MYNA, (Hindi) an Asiatic bird of the starling family, also MYNAH [n]'",1.6505365,3.804767,5.598268,-1
MYROBALAN,"'the astringent fruit of an Indian tree, aka cherry-plum [n -S]'",0.47447753,2.7871048,7.9184084,-1
MYROBALANS,"'MYROBALAN, the astringent fruit of an Indian tree, aka cherry-plum [n]'",0.17564987,2.5830257,8.064804,-1
NAAN,"'(Hindi) a kind of slightly leavened Indian bread, also NAN [n -S]'",-1.6310893,-1.8761957,9.8267145,-1
NAANS,"'NAAN, (Hindi) a kind of slightly leavened Indian bread, also NAN [n]'",-1.6428807,-1.8881174,9.862385,-1
NABOB,'(Urdu) a provincial governor of the Mogul empire in India; a person of great wealth or prominence [n -S]',0.5908858,-1.3554387,0.5727498,-1
NABOBERIES,"'NABOBERY, (Urdu) the state of being a nabob [n]'",0.20322935,-1.3445189,0.39936534,-1
NABOBERY,'(Urdu) the state of being a nabob [n NABOBERIES]',0.16037539,-1.2858388,0.4343762,-1
NABOBESS,'(Urdu) a female nabob [n -ES]',0.022921288,-1.0451862,0.37133917,-1
NABOBESSES,"'NABOBESS, (Urdu) a female nabob [n]'",0.05587952,-1.2031969,0.38830712,-1
NABOBISM,'(Urdu) great wealth and luxury [n -S]',-0.67615557,-0.9525008,1.058497,-1
NABOBISMS,"'NABOBISM, (Urdu) great wealth and luxury [n]'",0.23942561,-1.3132757,0.42886364,-1
NABOBS,"'NABOB, (Urdu) a provincial governor of the Mogul empire in India; a person of great wealth or prominence [n]'",0.41914064,-1.327378,0.45696223,-1
NACH,"'(Hindi) an entertainment in India consisting chiefly of dancing by professional dancing girls, also NAUCH, NAUTCH [n -ES]'",0.45479992,1.4537722,0.8007754,-1
NAGA,"'(Sanskrit) a snake, esp. the cobra; a divine snake in Hindu mythology [n -S]'",2.583384,3.62051,-0.29035348,-1
NAGARI,"'(Sanskrit) the character in which Sanskrit is usually printed, also DEVANAGARI [n -S]'",2.141564,3.5361454,-0.71054095,-1
NAGARIS,"'NAGARI, (Sanskrit) the character in which Sanskrit is usually printed, also DEVANAGARI [n]'",2.1413872,3.5587778,-0.6329835,-1
NAGAS,"'NAGA, (Sanskrit) a snake, esp. the cobra; a divine snake in Hindu mythology [n]'",2.6514559,3.6419485,-0.25270137,-1
NAIK,'(Hindi) the rank of corporal in the Indian army [n -S]',0.47190177,-2.054081,0.88779175,-1
NAIKS,"'NAIK, (Hindi) the rank of corporal in the Indian army [n]'",0.50486803,-2.2069025,0.8883501,-1
NAINSOOK,'(Hindi) a fine cotton fabric [n -S]',-1.45016,-0.26764232,1.7031783,86
NAINSOOKS,"'NAINSOOK, (Hindi) a fine cotton fabric [n]'",-1.6046628,-0.34277046,1.6901904,-1
NALA,"'(Hindi) a ravine, a watercourse, also NALLA, NALLAH, NULLA, NULLAH [n -S]'",1.6217757,-1.3176864,2.980518,30
NALAS,"'NALA, (Hindi) a ravine, a watercourse, also NALLA, NALLAH, NULLA, NULLAH [n]'",1.5908446,-1.2799004,2.9439874,30
NALLA,"'(Hindi) a ravine, a watercourse, also NALA, NALLAH, NULLA, NULLAH [n -S]'",1.6163957,-1.3274196,2.9825125,30
NALLAH,"'(Hindi) a ravine, a watercourse, also NALA, NALLA, NULLA, NULLAH [n -S]'",1.634408,-1.3297406,2.995119,30
NALLAHS,"'NALLAH, (Hindi) a ravine, a watercourse, also NALA, NALLA, NULLA, NULLAH [n]'",1.6065973,-1.299652,2.953497,30
NALLAS,"'NALLA, (Hindi) a ravine, a watercourse, also NALA, NALLAH, NULLA, NULLAH [n]'",1.6063099,-1.2869698,2.9561877,30
NAMASKAR,"'(Sanskrit) a traditional Indian salutation, a slight bow with the palms pressed together, also NAMASTE [n -S]'",1.4249638,4.769678,-0.38571334,34
NAMASKARAM,'(Sanskrit) a salutation used in India [n -S]',1.5001869,4.619172,-0.4122622,34
NAMASKARAMS,"'(Sanskrit) NAMASKARAM, a salutation used in India [n]'",1.4320698,4.7548647,-0.38715333,34
NAMASKARS,"'NAMASKAR, (Sanskrit) a traditional Indian salutation, a slight bow with the palms pressed together, also NAMASTE [n]'",1.3986205,4.7972374,-0.37034753,34
